applicant_id,track,gpa_normalized_4,gre_score,toefl_score,has_research,university_rating,admit_probability,admission_status,gmat_score,work_experience_months,major,work_industry,profile_score,recommended_tier
MS1,MS,3.86,337.0,118.0,1.0,4.0,0.92,,,,,,95.63,Tier1
MS2,MS,3.548,324.0,107.0,1.0,4.0,0.76,,,,,,85.34,Tier1
MS3,MS,3.2,316.0,104.0,1.0,3.0,0.72,,,,,,81.04,Tier2
MS4,MS,3.468,322.0,110.0,1.0,3.0,0.8,,,,,,86.77,Tier1
MS5,MS,3.284,314.0,103.0,0.0,2.0,0.65,,,,,,78.38,Tier2
MS6,MS,3.736,330.0,115.0,1.0,5.0,0.9,,,,,,93.32,Tier1
MS7,MS,3.28,321.0,109.0,1.0,3.0,0.75,,,,,,83.63,Tier1
MS8,MS,3.16,308.0,101.0,0.0,2.0,0.68,,,,,,78.27,Tier2
MS9,MS,3.2,302.0,102.0,0.0,1.0,0.5,,,,,,70.96,Tier2
MS10,MS,3.44,323.0,108.0,0.0,3.0,0.45,,,,,,72.45,Tier2
MS11,MS,3.36,325.0,106.0,1.0,3.0,0.52,,,,,,74.75,Tier2
MS12,MS,3.6,327.0,111.0,1.0,4.0,0.84,,,,,,89.52,Tier1
MS13,MS,3.64,328.0,112.0,1.0,4.0,0.78,,,,,,87.52,Tier1
MS14,MS,3.2,307.0,109.0,1.0,3.0,0.62,,,,,,77.0,Tier2
MS15,MS,3.28,311.0,104.0,1.0,3.0,0.61,,,,,,76.67,Tier2
MS16,MS,3.32,314.0,105.0,0.0,3.0,0.54,,,,,,74.41,Tier2
MS17,MS,3.48,317.0,107.0,0.0,3.0,0.66,,,,,,80.48,Tier2
MS18,MS,3.2,319.0,106.0,1.0,3.0,0.65,,,,,,78.71,Tier2
MS19,MS,3.52,318.0,110.0,0.0,3.0,0.63,,,,,,79.93,Tier2
MS20,MS,3.4,303.0,102.0,0.0,3.0,0.62,,,,,,76.83,Tier2
MS21,MS,3.16,312.0,107.0,1.0,3.0,0.64,,,,,,77.72,Tier2
MS22,MS,3.36,325.0,114.0,0.0,4.0,0.7,,,,,,82.95,Tier1
MS23,MS,3.8,328.0,116.0,1.0,5.0,0.94,,,,,,95.22,Tier1
MS24,MS,3.88,334.0,119.0,1.0,5.0,0.95,,,,,,96.83,Tier1
MS25,MS,3.92,336.0,119.0,1.0,5.0,0.97,,,,,,97.98,Tier1
MS26,MS,3.84,340.0,120.0,1.0,5.0,0.94,,,,,,96.8,Tier1
MS27,MS,3.52,322.0,109.0,0.0,5.0,0.76,,,,,,85.3,Tier1
MS28,MS,3.0,298.0,98.0,1.0,2.0,0.44,,,,,,66.76,Tier2
MS29,MS,2.88,295.0,93.0,0.0,1.0,0.46,,,,,,66.12,Tier2
MS30,MS,2.92,310.0,99.0,0.0,2.0,0.54,,,,,,71.37,Tier2
MS31,MS,3.24,300.0,97.0,1.0,2.0,0.65,,,,,,76.38,Tier2
MS32,MS,3.32,327.0,103.0,1.0,3.0,0.74,,,,,,83.12,Tier1
