university_id,university_name,state,city,latitude,longitude,tuition_in_state_usd,tuition_out_state_usd,university_admission_rate,student_size,us_news_ranking,world_ranking,campus_setting,website_url,avg_cost_of_living_monthly,international_student_pct,public_or_private,program_id,program_name,degree_type,department,min_gpa,min_gre_quant,min_gre_verbal,min_gmat,min_toefl,min_ielts,application_deadline_fall,application_fee_usd,duration_months,stem_designated,program_admit_rate,description_text,curriculum_highlights,faculty_research_areas,avg_starting_salary_usd,male_acceptance_rate,female_acceptance_rate,historical_admit_count,historical_admit_rate,data_quality,track,tier_score,tier
166683,Massachusetts Institute of Technology,MA,Cambridge,42.359243,-71.093226,62396,62396,0.0455,4535,2.0,1.0,urban,web.mit.edu/,,,Private,P000012,MBA Business Administration,MBA,"Business, Management & Marketing",3.1,149.0,150.0,720.0,100,7.0,2026-04-20,50,24,False,0.02,"MBA Business Administration at Massachusetts Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Strategy; Entrepreneurship; Finance; Leadership; Operations,Operations; Organizational Behavior; Finance; Innovation; Strategy,160000,0.023,0.018,2,1.0,synthetic_demo,MBA,91.5,Tier1
166683,Massachusetts Institute of Technology,MA,Cambridge,42.359243,-71.093226,62396,62396,0.0455,4535,2.0,1.0,urban,web.mit.edu/,,,Private,P000032,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.0,153.0,150.0,703.0,105,7.5,2027-01-15,90,24,False,0.066,"MBA Business Administration - Finance at Massachusetts Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Finance; Operations; Strategy; Leadership,Innovation; Organizational Behavior; Operations; Finance; Marketing,159000,0.044,0.088,0,,synthetic_demo,MBA,88.06,Tier1
166683,Massachusetts Institute of Technology,MA,Cambridge,42.359243,-71.093226,62396,62396,0.0455,4535,2.0,1.0,urban,web.mit.edu/,,,Private,P000052,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,151.0,153.0,700.0,105,7.0,2028-02-15,100,24,False,0.02,"MBA Business Administration - Marketing at Massachusetts Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Marketing; Entrepreneurship; Operations; Finance,Strategy; Operations; Marketing; Organizational Behavior; Innovation,157000,0.021,0.02,0,,synthetic_demo,MBA,90.25,Tier1
166683,Massachusetts Institute of Technology,MA,Cambridge,42.359243,-71.093226,62396,62396,0.0455,4535,2.0,1.0,urban,web.mit.edu/,,,Private,P000072,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.0,150.0,152.0,723.0,100,7.0,2029-03-15,100,24,False,0.02,"MBA Business Administration - Operations at Massachusetts Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Strategy; Leadership; Entrepreneurship; Finance,Operations; Innovation; Strategy; Finance; Organizational Behavior,157000,0.038,0.015,4,0.25,synthetic_demo,MBA,91.11,Tier1
166683,Massachusetts Institute of Technology,MA,Cambridge,42.359243,-71.093226,62396,62396,0.0455,4535,2.0,1.0,urban,web.mit.edu/,,,Private,P000092,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.2,152.0,153.0,708.0,100,7.0,2030-04-20,0,24,False,0.09,"MBA Business Administration - Leadership at Massachusetts Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Marketing; Entrepreneurship; Strategy; Operations,Organizational Behavior; Finance; Marketing; Operations; Innovation,159000,0.093,0.09,0,,synthetic_demo,MBA,88.05,Tier1
243744,Stanford University,CA,Stanford,37.429434,-122.167359,65910,65910,0.0361,7554,3.0,2.0,suburban,www.stanford.edu/,,,Private,P000112,MBA Business Administration,MBA,"Business, Management & Marketing",3.1,151.0,150.0,707.0,100,7.5,2026-04-20,0,24,False,0.066,"MBA Business Administration at Stanford University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Strategy; Operations; Finance; Leadership,Organizational Behavior; Finance; Strategy; Operations; Innovation,162000,0.072,0.058,2,1.0,synthetic_demo,MBA,88.71,Tier1
243744,Stanford University,CA,Stanford,37.429434,-122.167359,65910,65910,0.0361,7554,3.0,2.0,suburban,www.stanford.edu/,,,Private,P000132,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.1,151.0,150.0,707.0,110,7.0,2027-04-01,65,24,False,0.035,"MBA Business Administration - Finance at Stanford University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Leadership; Operations; Finance; Entrepreneurship,Marketing; Operations; Finance; Innovation; Organizational Behavior,157000,0.037,0.032,1,1.0,synthetic_demo,MBA,90.26,Tier1
243744,Stanford University,CA,Stanford,37.429434,-122.167359,65910,65910,0.0361,7554,3.0,2.0,suburban,www.stanford.edu/,,,Private,P000152,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.2,149.0,151.0,704.0,105,7.0,2028-01-01,65,24,False,0.089,"MBA Business Administration - Marketing at Stanford University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Operations; Marketing; Finance; Leadership,Finance; Organizational Behavior; Marketing; Operations; Strategy,160000,0.09,0.092,1,1.0,synthetic_demo,MBA,87.95,Tier1
243744,Stanford University,CA,Stanford,37.429434,-122.167359,65910,65910,0.0361,7554,3.0,2.0,suburban,www.stanford.edu/,,,Private,P000172,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.0,151.0,150.0,723.0,100,7.0,2029-02-20,150,24,False,0.109,"MBA Business Administration - Operations at Stanford University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Marketing; Strategy; Finance; Entrepreneurship,Innovation; Strategy; Marketing; Finance; Operations,152000,0.118,0.099,1,1.0,synthetic_demo,MBA,86.66,Tier1
243744,Stanford University,CA,Stanford,37.429434,-122.167359,65910,65910,0.0361,7554,3.0,2.0,suburban,www.stanford.edu/,,,Private,P000192,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.2,151.0,150.0,703.0,100,7.0,2030-01-05,90,24,False,0.025,"MBA Business Administration - Leadership at Stanford University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Operations; Marketing; Leadership; Finance; Entrepreneurship,Operations; Strategy; Organizational Behavior; Innovation; Marketing,156000,0.028,0.027,1,0.0,synthetic_demo,MBA,91.11,Tier1
211440,Carnegie Mellon University,PA,Pittsburgh,40.44357,-79.941993,66246,66246,0.1166,7304,24.0,58.0,urban,www.cmu.edu/,,,Private,P000212,MBA Business Administration,MBA,"Business, Management & Marketing",3.0,152.0,148.0,721.0,105,7.0,2026-02-20,95,24,False,0.036,"MBA Business Administration at Carnegie Mellon University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Strategy; Operations; Finance; Entrepreneurship,Organizational Behavior; Marketing; Strategy; Operations; Finance,162000,0.03,0.041,2,0.0,synthetic_demo,MBA,90.24,Tier1
211440,Carnegie Mellon University,PA,Pittsburgh,40.44357,-79.941993,66246,66246,0.1166,7304,24.0,58.0,urban,www.cmu.edu/,,,Private,P000232,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.1,152.0,152.0,723.0,100,7.0,2027-02-15,120,24,False,0.079,"MBA Business Administration - Finance at Carnegie Mellon University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Leadership; Strategy; Entrepreneurship; Finance; Operations,Innovation; Organizational Behavior; Strategy; Marketing; Finance,159000,0.075,0.085,1,1.0,synthetic_demo,MBA,88.66,Tier1
211440,Carnegie Mellon University,PA,Pittsburgh,40.44357,-79.941993,66246,66246,0.1166,7304,24.0,58.0,urban,www.cmu.edu/,,,Private,P000252,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,149.0,153.0,728.0,105,7.0,2028-02-20,65,24,False,0.02,"MBA Business Administration - Marketing at Carnegie Mellon University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Marketing; Entrepreneurship; Operations; Finance; Leadership,Innovation; Operations; Finance; Marketing; Strategy,161000,0.038,0.015,0,,synthetic_demo,MBA,91.3,Tier1
211440,Carnegie Mellon University,PA,Pittsburgh,40.44357,-79.941993,66246,66246,0.1166,7304,24.0,58.0,urban,www.cmu.edu/,,,Private,P000272,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.0,153.0,149.0,717.0,100,7.5,2029-04-20,120,24,False,0.068,"MBA Business Administration - Operations at Carnegie Mellon University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Operations; Marketing; Entrepreneurship; Strategy; Leadership,Marketing; Strategy; Operations; Organizational Behavior; Innovation,154000,0.06,0.079,0,,synthetic_demo,MBA,88.49,Tier1
211440,Carnegie Mellon University,PA,Pittsburgh,40.44357,-79.941993,66246,66246,0.1166,7304,24.0,58.0,urban,www.cmu.edu/,,,Private,P000292,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.0,153.0,152.0,702.0,105,7.0,2030-03-20,120,24,False,0.127,"MBA Business Administration - Leadership at Carnegie Mellon University is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Leadership; Operations; Marketing; Entrepreneurship,Operations; Finance; Innovation; Marketing; Organizational Behavior,156000,0.129,0.124,1,0.0,synthetic_demo,MBA,84.98,Tier1
110635,University of California-Berkeley,CA,Berkeley,37.871918,-122.260463,16347,50547,0.1098,33068,15.0,10.0,urban,www.berkeley.edu/,,,Public,P000312,MBA Business Administration,MBA,"Business, Management & Marketing",3.0,151.0,152.0,718.0,105,7.0,2026-03-10,65,24,False,0.02,"MBA Business Administration at University of California Berkeley is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Entrepreneurship; Marketing; Leadership; Strategy; Finance,Innovation; Finance; Strategy; Marketing; Organizational Behavior,159000,0.016,0.025,2,1.0,synthetic_demo,MBA,90.92,Tier1
110635,University of California-Berkeley,CA,Berkeley,37.871918,-122.260463,16347,50547,0.1098,33068,15.0,10.0,urban,www.berkeley.edu/,,,Public,P000332,MBA Business Administration - Finance,MBA,"Business, Management & Marketing",3.0,151.0,150.0,713.0,100,7.0,2027-03-05,50,24,False,0.044,"MBA Business Administration - Finance at University of California Berkeley is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Operations; Entrepreneurship; Strategy; Leadership,Innovation; Operations; Strategy; Finance; Organizational Behavior,156000,0.041,0.048,0,,synthetic_demo,MBA,89.54,Tier1
110635,University of California-Berkeley,CA,Berkeley,37.871918,-122.260463,16347,50547,0.1098,33068,15.0,10.0,urban,www.berkeley.edu/,,,Public,P000352,MBA Business Administration - Marketing,MBA,"Business, Management & Marketing",3.0,151.0,150.0,701.0,100,7.0,2028-01-10,90,24,False,0.066,"MBA Business Administration - Marketing at University of California Berkeley is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Strategy; Marketing; Leadership; Operations; Entrepreneurship,Innovation; Finance; Organizational Behavior; Strategy; Marketing,155000,0.077,0.055,0,,synthetic_demo,MBA,87.99,Tier1
110635,University of California-Berkeley,CA,Berkeley,37.871918,-122.260463,16347,50547,0.1098,33068,15.0,10.0,urban,www.berkeley.edu/,,,Public,P000372,MBA Business Administration - Operations,MBA,"Business, Management & Marketing",3.1,151.0,150.0,700.0,100,7.0,2029-02-15,80,24,False,0.115,"MBA Business Administration - Operations at University of California Berkeley is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Marketing; Entrepreneurship; Operations; Strategy,Strategy; Finance; Innovation; Organizational Behavior; Marketing,160000,0.127,0.104,4,0.25,synthetic_demo,MBA,86.0,Tier1
110635,University of California-Berkeley,CA,Berkeley,37.871918,-122.260463,16347,50547,0.1098,33068,15.0,10.0,urban,www.berkeley.edu/,,,Public,P000392,MBA Business Administration - Leadership,MBA,"Business, Management & Marketing",3.1,151.0,150.0,702.0,100,7.5,2030-01-15,200,24,False,0.06,"MBA Business Administration - Leadership at University of California Berkeley is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Operations; Entrepreneurship; Strategy; Leadership; Finance,Operations; Finance; Innovation; Organizational Behavior; Strategy,153000,0.07,0.051,1,1.0,synthetic_demo,MBA,88.82,Tier1
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,33.77242,-84.394832,12058,34484,0.1407,18785,33.0,128.0,urban,www.gatech.edu/,,,Public,P000412,MBA Business Administration,MBA,"Business, Management & Marketing",3.2,151.0,150.0,706.0,105,7.5,2026-04-15,150,24,False,0.141,"MBA Business Administration at Georgia Institute of Technology is a graduate program in Business, Management & Marketing designed for advanced study and career or research preparation. The curriculum emphasizes Strategy, Finance, Marketing and offers opportunities to build depth through electives, projects, and faculty-led research.",Finance; Leadership; Entrepreneurship; Operations; Marketing,Finance; Innovation; Strategy; Marketing; Operations,152000,0.155,0.125,3,0.667,synthetic_demo,MBA,85.42,Tier1
