student_gpa_band,student_gre_band,program_id,admit_result,term
3.4-3.5,320-329,P000976,Reject,Fall 2026
3.5-3.7,320-329,P004961,Reject,Fall 2026
3.7-3.9,310-319,P004096,Waitlist,Fall 2022
3.5-3.7,320-329,P000915,Waitlist,Fall 2023
3.4-3.5,310-319,P002209,Admit,Fall 2026
3.7-3.9,,P000811,Admit,Fall 2024
3.7-3.9,320-329,P001377,Admit,Fall 2025
3.5-3.7,,P003238,Reject,Fall 2025
3.5-3.7,320-329,P001250,Reject,Fall 2024
3.4-3.5,330-340,P004631,Admit,Fall 2025
3.5-3.7,320-329,P000578,Reject,Fall 2025
3.7-3.9,300-309,P001248,Reject,Fall 2026
3.5-3.7,310-319,P001444,Reject,Fall 2026
3.4-3.5,330-340,P004951,Admit,Fall 2025
3.7-3.9,300-309,P004442,Reject,Fall 2021
3.7-3.9,310-319,P001783,Admit,Fall 2025
3.4-3.5,310-319,P002230,Reject,Fall 2026
3.5-3.7,330-340,P001472,Admit,Fall 2026
3.9-4.0,310-319,P002203,Admit,Fall 2024
3.4-3.5,,P004824,Reject,Fall 2023
3.0-3.2,310-319,P000892,Reject,Fall 2025
3.4-3.5,320-329,P002443,Reject,Fall 2025
3.2-3.4,,P003778,Reject,Fall 2026
3.7-3.9,300-309,P000825,Reject,Fall 2026
3.4-3.5,320-329,P000763,Waitlist,Fall 2023
3.9-4.0,300-309,P001115,Reject,Fall 2025
2.8-3.0,320-329,P001248,Reject,Fall 2026
3.9-4.0,320-329,P000150,Admit,Fall 2025
3.5-3.7,310-319,P004663,Reject,Fall 2025
3.2-3.4,290-299,P001427,Reject,Fall 2026
3.7-3.9,310-319,P004886,Waitlist,Fall 2021
3.2-3.4,330-340,P000563,Admit,Fall 2025
3.4-3.5,310-319,P002782,Admit,Fall 2024
3.2-3.4,330-340,P004114,Reject,Fall 2024
3.4-3.5,300-309,P002782,Reject,Fall 2026
3.7-3.9,,P002144,Reject,Fall 2026
3.5-3.7,320-329,P004113,Waitlist,Fall 2026
3.7-3.9,320-329,P004327,Reject,Fall 2023
3.5-3.7,310-319,P003778,Admit,Fall 2024
3.2-3.4,300-309,P001070,Waitlist,Fall 2022
3.7-3.9,300-309,P002050,Waitlist,Fall 2025
3.0-3.2,330-340,P003727,Reject,Fall 2024
3.0-3.2,,P001792,Waitlist,Fall 2022
3.9-4.0,,P002051,Admit,Fall 2025
3.7-3.9,320-329,P002755,Reject,Fall 2024
3.0-3.2,330-340,P004732,Admit,Fall 2024
3.4-3.5,320-329,P002853,Admit,Fall 2026
3.5-3.7,300-309,P003505,Reject,Fall 2022
3.5-3.7,330-340,P002954,Admit,Fall 2024
3.4-3.5,310-319,P002996,Admit,Fall 2023
3.2-3.4,,P003024,Reject,Fall 2025
3.5-3.7,,P001581,Admit,Fall 2021
3.7-3.9,320-329,P002842,Reject,Fall 2025
3.5-3.7,320-329,P004173,Reject,Fall 2026
3.7-3.9,320-329,P000490,Admit,Fall 2024
3.4-3.5,310-319,P003904,Reject,Fall 2026
3.4-3.5,,P002051,Admit,Fall 2025
3.9-4.0,320-329,P002375,Admit,Fall 2026
3.0-3.2,320-329,P003782,Admit,Fall 2026
3.5-3.7,320-329,P002556,Admit,Fall 2021
3.4-3.5,310-319,P000664,Reject,Fall 2023
3.2-3.4,,P001647,Waitlist,Fall 2025
3.4-3.5,,P001987,Admit,Fall 2026
3.7-3.9,330-340,P002668,Admit,Fall 2026
3.2-3.4,300-309,P002030,Reject,Fall 2023
3.4-3.5,320-329,P000716,Admit,Fall 2022
3.5-3.7,320-329,P000411,Admit,Fall 2025
3.4-3.5,300-309,P003738,Waitlist,Fall 2026
3.9-4.0,,P001548,Admit,Fall 2026
3.7-3.9,,P001903,Admit,Fall 2023
3.5-3.7,,P001430,Reject,Fall 2025
3.5-3.7,,P001964,Reject,Fall 2023
3.7-3.9,320-329,P000816,Admit,Fall 2023
3.7-3.9,300-309,P001616,Admit,Fall 2026
3.4-3.5,310-319,P000656,Waitlist,Fall 2024
3.9-4.0,300-309,P000789,Admit,Fall 2024
3.5-3.7,310-319,P001395,Admit,Fall 2022
3.9-4.0,330-340,P002198,Admit,Fall 2025
3.5-3.7,300-309,P004902,Admit,Fall 2023
3.5-3.7,,P000407,Admit,Fall 2025
3.7-3.9,320-329,P001653,Admit,Fall 2021
3.5-3.7,330-340,P000095,Admit,Fall 2026
3.5-3.7,310-319,P002075,Waitlist,Fall 2023
3.9-4.0,,P003461,Reject,Fall 2026
3.5-3.7,,P000095,Admit,Fall 2025
3.7-3.9,300-309,P002716,Admit,Fall 2024
3.5-3.7,310-319,P004996,Reject,Fall 2025
3.4-3.5,,P001311,Waitlist,Fall 2025
3.7-3.9,,P001232,Admit,Fall 2021
3.4-3.5,300-309,P001589,Admit,Fall 2026
3.4-3.5,320-329,P001903,Reject,Fall 2025
3.7-3.9,310-319,P002833,Admit,Fall 2022
3.9-4.0,310-319,P002875,Admit,Fall 2024
3.9-4.0,300-309,P004377,Admit,Fall 2026
3.4-3.5,320-329,P002611,Admit,Fall 2023
3.7-3.9,300-309,P001066,Reject,Fall 2026
3.9-4.0,320-329,P001865,Admit,Fall 2023
3.0-3.2,290-299,P003653,Reject,Fall 2026
3.2-3.4,320-329,P000463,Admit,Fall 2023
3.7-3.9,310-319,P004473,Waitlist,Fall 2026
3.4-3.5,330-340,P004308,Admit,Fall 2025
3.0-3.2,320-329,P004206,Reject,Fall 2026
3.7-3.9,,P001875,Admit,Fall 2026
3.7-3.9,,P002682,Reject,Fall 2023
3.2-3.4,,P003307,Reject,Fall 2024
3.5-3.7,,P003909,Reject,Fall 2026
3.7-3.9,320-329,P000316,Waitlist,Fall 2022
3.5-3.7,,P001071,Reject,Fall 2026
3.5-3.7,,P004690,Reject,Fall 2025
3.5-3.7,,P002416,Reject,Fall 2025
3.5-3.7,320-329,P002492,Reject,Fall 2025
3.7-3.9,300-309,P002261,Admit,Fall 2025
3.7-3.9,320-329,P003930,Admit,Fall 2022
3.0-3.2,320-329,P000006,Waitlist,Fall 2025
3.9-4.0,310-319,P004410,Admit,Fall 2024
3.2-3.4,,P004954,Reject,Fall 2023
3.7-3.9,,P000152,Admit,Fall 2022
3.7-3.9,,P002554,Admit,Fall 2024
3.7-3.9,310-319,P003687,Reject,Fall 2024
3.4-3.5,,P003890,Admit,Fall 2022
3.5-3.7,290-299,P003823,Reject,Fall 2024
3.5-3.7,310-319,P000237,Reject,Fall 2024
3.7-3.9,310-319,P003532,Reject,Fall 2023
3.2-3.4,310-319,P004377,Admit,Fall 2023
3.7-3.9,320-329,P003391,Admit,Fall 2026
3.2-3.4,,P002108,Reject,Fall 2025
3.0-3.2,,P003209,Reject,Fall 2023
3.2-3.4,320-329,P004787,Admit,Fall 2026
3.7-3.9,330-340,P004043,Reject,Fall 2026
3.7-3.9,290-299,P001811,Admit,Fall 2025
3.2-3.4,,P002578,Reject,Fall 2025
3.0-3.2,310-319,P002453,Reject,Fall 2025
3.4-3.5,310-319,P004791,Admit,Fall 2024
3.2-3.4,,P001902,Admit,Fall 2026
3.4-3.5,300-309,P003752,Admit,Fall 2024
3.9-4.0,310-319,P001581,Admit,Fall 2026
3.7-3.9,,P001771,Admit,Fall 2022
3.4-3.5,300-309,P000267,Reject,Fall 2021
3.4-3.5,310-319,P002728,Admit,Fall 2025
3.7-3.9,310-319,P002173,Admit,Fall 2026
3.9-4.0,310-319,P000748,Admit,Fall 2021
3.4-3.5,310-319,P000130,Admit,Fall 2024
3.5-3.7,,P003544,Admit,Fall 2024
3.7-3.9,310-319,P004558,Reject,Fall 2024
3.7-3.9,300-309,P003386,Admit,Fall 2023
3.7-3.9,310-319,P003407,Reject,Fall 2025
3.7-3.9,,P002390,Admit,Fall 2024
3.5-3.7,310-319,P000463,Waitlist,Fall 2026
3.4-3.5,310-319,P003265,Waitlist,Fall 2021
3.4-3.5,320-329,P002743,Admit,Fall 2026
3.7-3.9,320-329,P000250,Reject,Fall 2025
3.7-3.9,290-299,P004164,Waitlist,Fall 2024
3.7-3.9,320-329,P004311,Admit,Fall 2026
3.2-3.4,,P001603,Reject,Fall 2024
3.5-3.7,,P002690,Admit,Fall 2022
3.2-3.4,310-319,P002270,Admit,Fall 2025
3.5-3.7,,P002282,Reject,Fall 2022
3.7-3.9,310-319,P002056,Admit,Fall 2025
3.7-3.9,310-319,P003112,Admit,Fall 2022
3.4-3.5,330-340,P004424,Reject,Fall 2026
3.7-3.9,330-340,P001135,Admit,Fall 2025
3.7-3.9,,P000126,Admit,Fall 2024
3.7-3.9,310-319,P004577,Admit,Fall 2022
3.5-3.7,,P001707,Reject,Fall 2024
3.7-3.9,320-329,P002647,Admit,Fall 2025
3.4-3.5,320-329,P001621,Admit,Fall 2024
3.5-3.7,,P002198,Admit,Fall 2024
3.2-3.4,320-329,P004091,Admit,Fall 2024
3.4-3.5,,P001230,Admit,Fall 2025
3.9-4.0,310-319,P002046,Admit,Fall 2026
3.7-3.9,310-319,P003073,Admit,Fall 2024
3.9-4.0,330-340,P002977,Admit,Fall 2024
3.7-3.9,,P004235,Admit,Fall 2021
3.7-3.9,,P002405,Reject,Fall 2026
3.7-3.9,310-319,P003204,Reject,Fall 2026
2.8-3.0,,P004398,Admit,Fall 2023
3.9-4.0,310-319,P000334,Admit,Fall 2025
3.5-3.7,,P001592,Admit,Fall 2026
3.7-3.9,290-299,P002265,Admit,Fall 2026
3.7-3.9,310-319,P002671,Admit,Fall 2025
3.2-3.4,,P001126,Admit,Fall 2024
3.2-3.4,290-299,P001941,Reject,Fall 2025
3.5-3.7,320-329,P001501,Admit,Fall 2026
3.5-3.7,,P003677,Reject,Fall 2025
3.2-3.4,,P003894,Reject,Fall 2024
3.2-3.4,310-319,P003541,Reject,Fall 2026
3.4-3.5,310-319,P002816,Admit,Fall 2024
3.4-3.5,320-329,P003531,Admit,Fall 2023
3.4-3.5,300-309,P002381,Admit,Fall 2025
3.5-3.7,310-319,P003825,Admit,Fall 2026
3.5-3.7,320-329,P000828,Waitlist,Fall 2024
3.0-3.2,320-329,P002296,Admit,Fall 2024
3.9-4.0,,P003234,Admit,Fall 2026
3.5-3.7,,P003618,Admit,Fall 2026
3.9-4.0,,P003454,Admit,Fall 2026
3.9-4.0,,P004763,Reject,Fall 2023
3.0-3.2,310-319,P000749,Waitlist,Fall 2024
3.0-3.2,320-329,P004971,Reject,Fall 2025
3.0-3.2,330-340,P001728,Admit,Fall 2026
3.5-3.7,,P002797,Admit,Fall 2026
